Measure,ZipCode,Ratio,TotalPopulation
Housing insecurity in the past 12 months among adults,68938,0.085,507
Feeling socially isolated among adults,68938,0.29,507
Obesity among adults,68938,0.436,507
Current asthma among adults,68939,0.095,1187
Visits to doctor for routine checkup within the past year among adults,68939,0.763,1187
Depression among adults,68939,0.169,1187
Housing insecurity in the past 12 months among adults,68939,0.104,1187
Feeling socially isolated among adults,68939,0.309,1187
Obesity among adults,68939,0.404,1187
Current asthma among adults,68940,0.092,453
Visits to doctor for routine checkup within the past year among adults,68940,0.744,453
Depression among adults,68940,0.168,453
Housing insecurity in the past 12 months among adults,68940,0.079,453
Feeling socially isolated among adults,68940,0.293,453
Obesity among adults,68940,0.432,453
Current asthma among adults,68941,0.095,718
Visits to doctor for routine checkup within the past year among adults,68941,0.752,718
Depression among adults,68941,0.176,718
Housing insecurity in the past 12 months among adults,68941,0.085,718
Feeling socially isolated among adults,68941,0.299,718
Obesity among adults,68941,0.421,718
Current asthma among adults,68942,0.093,447
Visits to doctor for routine checkup within the past year among adults,68942,0.753,447
Depression among adults,68942,0.165,447
Housing insecurity in the past 12 months among adults,68942,0.089,447
Feeling socially isolated among adults,68942,0.302,447
Obesity among adults,68942,0.388,447
Current asthma among adults,68943,0.089,227
Visits to doctor for routine checkup within the past year among adults,68943,0.775,227
Depression among adults,68943,0.162,227
Housing insecurity in the past 12 months among adults,68943,0.07,227
Feeling socially isolated among adults,68943,0.298,227
Obesity among adults,68943,0.367,227
Current asthma among adults,68944,0.093,1210
Visits to doctor for routine checkup within the past year among adults,68944,0.744,1210
Depression among adults,68944,0.167,1210
Housing insecurity in the past 12 months among adults,68944,0.101,1210
Feeling socially isolated among adults,68944,0.307,1210
Obesity among adults,68944,0.428,1210
Current asthma among adults,68945,0.089,233
Visits to doctor for routine checkup within the past year among adults,68945,0.735,233
Depression among adults,68945,0.166,233
Housing insecurity in the past 12 months among adults,68945,0.093,233
Feeling socially isolated among adults,68945,0.32,233
Obesity among adults,68945,0.358,233
Current asthma among adults,68946,0.089,66
Visits to doctor for routine checkup within the past year among adults,68946,0.776,66
Depression among adults,68946,0.158,66
Housing insecurity in the past 12 months among adults,68946,0.084,66
Feeling socially isolated among adults,68946,0.297,66
Obesity among adults,68946,0.412,66
Current asthma among adults,68947,0.091,569
Visits to doctor for routine checkup within the past year among adults,68947,0.763,569
Depression among adults,68947,0.162,569
Housing insecurity in the past 12 months among adults,68947,0.092,569
Feeling socially isolated among adults,68947,0.304,569
Obesity among adults,68947,0.401,569
Current asthma among adults,68948,0.096,339
Visits to doctor for routine checkup within the past year among adults,68948,0.759,339
Depression among adults,68948,0.17,339
Housing insecurity in the past 12 months among adults,68948,0.078,339
Feeling socially isolated among adults,68948,0.291,339
Obesity among adults,68948,0.421,339
Current asthma among adults,68949,0.099,6519
Visits to doctor for routine checkup within the past year among adults,68949,0.738,6519
Depression among adults,68949,0.179,6519
Housing insecurity in the past 12 months among adults,68949,0.094,6519
Feeling socially isolated among adults,68949,0.304,6519
Obesity among adults,68949,0.436,6519
Current asthma among adults,68950,0.095,298
Visits to doctor for routine checkup within the past year among adults,68950,0.748,298
Depression among adults,68950,0.189,298
Housing insecurity in the past 12 months among adults,68950,0.077,298
Feeling socially isolated among adults,68950,0.32,298
Obesity among adults,68950,0.391,298
Current asthma among adults,68952,0.091,142
Visits to doctor for routine checkup within the past year among adults,68952,0.763,142
Depression among adults,68952,0.165,142
Housing insecurity in the past 12 months among adults,68952,0.083,142
Feeling socially isolated among adults,68952,0.297,142
Obesity among adults,68952,0.394,142
Current asthma among adults,68954,0.085,82
Visits to doctor for routine checkup within the past year among adults,68954,0.784,82
Depression among adults,68954,0.148,82
Housing insecurity in the past 12 months among adults,68954,0.069,82
Feeling socially isolated among adults,68954,0.279,82
Obesity among adults,68954,0.404,82
Current asthma among adults,68955,0.092,2084
Visits to doctor for routine checkup within the past year among adults,68955,0.73,2084
Depression among adults,68955,0.188,2084
Housing insecurity in the past 12 months among adults,68955,0.069,2084
Feeling socially isolated among adults,68955,0.313,2084
Obesity among adults,68955,0.378,2084
Current asthma among adults,68956,0.089,1246
Visits to doctor for routine checkup within the past year among adults,68956,0.737,1246
Depression among adults,68956,0.18,1246
Housing insecurity in the past 12 months among adults,68956,0.067,1246
Feeling socially isolated among adults,68956,0.308,1246
Obesity among adults,68956,0.371,1246
Current asthma among adults,68957,0.089,545
Visits to doctor for routine checkup within the past year among adults,68957,0.75,545
Depression among adults,68957,0.167,545
Housing insecurity in the past 12 months among adults,68957,0.078,545
Feeling socially isolated among adults,68957,0.31,545
Obesity among adults,68957,0.383,545
Current asthma among adults,68958,0.09,613
Visits to doctor for routine checkup within the past year among adults,68958,0.732,613
Depression among adults,68958,0.167,613
Housing insecurity in the past 12 months among adults,68958,0.085,613
Feeling socially isolated among adults,68958,0.304,613
Obesity among adults,68958,0.42,613
Current asthma among adults,68959,0.095,4047
Visits to doctor for routine checkup within the past year among adults,68959,0.738,4047
Depression among adults,68959,0.171,4047
Housing insecurity in the past 12 months among adults,68959,0.09,4047
Feeling socially isolated among adults,68959,0.31,4047
Obesity among adults,68959,0.383,4047
Current asthma among adults,68960,0.096,177
Visits to doctor for routine checkup within the past year among adults,68960,0.791,177
Depression among adults,68960,0.164,177
Housing insecurity in the past 12 months among adults,68960,0.088,177
Feeling socially isolated among adults,68960,0.289,177
Obesity among adults,68960,0.432,177
Current asthma among adults,68961,0.091,700
Visits to doctor for routine checkup within the past year among adults,68961,0.766,700
Depression among adults,68961,0.165,700
Housing insecurity in the past 12 months among adults,68961,0.078,700
Feeling socially isolated among adults,68961,0.303,700
Obesity among adults,68961,0.388,700
Current asthma among adults,68964,0.087,134
Visits to doctor for routine checkup within the past year among adults,68964,0.753,134
Depression among adults,68964,0.162,134
Housing insecurity in the past 12 months among adults,68964,0.08,134
Feeling socially isolated among adults,68964,0.308,134
Obesity among adults,68964,0.382,134
Current asthma among adults,68966,0.094,614
Visits to doctor for routine checkup within the past year among adults,68966,0.755,614
Depression among adults,68966,0.17,614
Housing insecurity in the past 12 months among adults,68966,0.089,614
Feeling socially isolated among adults,68966,0.307,614
Obesity among adults,68966,0.382,614
Current asthma among adults,68967,0.095,1042
Visits to doctor for routine checkup within the past year among adults,68967,0.747,1042
Depression among adults,68967,0.173,1042
Housing insecurity in the past 12 months among adults,68967,0.092,1042
Feeling socially isolated among adults,68967,0.311,1042
Obesity among adults,68967,0.399,1042
Current asthma among adults,68970,0.095,1248
Visits to doctor for routine checkup within the past year among adults,68970,0.767,1248
Depression among adults,68970,0.168,1248
Housing insecurity in the past 12 months among adults,68970,0.098,1248
Feeling socially isolated among adults,68970,0.306,1248
Obesity among adults,68970,0.392,1248
Current asthma among adults,68971,0.089,379
Visits to doctor for routine checkup within the past year among adults,68971,0.763,379
Depression among adults,68971,0.16,379
Housing insecurity in the past 12 months among adults,68971,0.072,379
Feeling socially isolated among adults,68971,0.29,379
Obesity among adults,68971,0.367,379
Current asthma among adults,68972,0.094,176
Visits to doctor for routine checkup within the past year among adults,68972,0.768,176
Depression among adults,68972,0.166,176
Housing insecurity in the past 12 months among adults,68972,0.09,176
Feeling socially isolated among adults,68972,0.299,176
Obesity among adults,68972,0.41,176
Current asthma among adults,68973,0.093,461
Visits to doctor for routine checkup within the past year among adults,68973,0.724,461
Depression among adults,68973,0.193,461
Housing insecurity in the past 12 months among adults,68973,0.086,461
Feeling socially isolated among adults,68973,0.327,461
Obesity among adults,68973,0.399,461
Current asthma among adults,68974,0.089,183
Visits to doctor for routine checkup within the past year among adults,68974,0.752,183
Depression among adults,68974,0.163,183
Housing insecurity in the past 12 months among adults,68974,0.082,183
